left_elbow_angle,right_elbow_angle,left_wrist_angle,right_wrist_angle,left_shoulder_angle,right_shoulder_angle,hip_angle,waist_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle
160.52977375033996,152.69938862017196,121.68351137332479,104.28463620144854,55.28103974620905,52.586272896341534,164.9841401059862,7.824041166984789,170.96235632148802,164.54032077861098,161.73568101956562,164.64060388721788
161.76056888369794,154.67144323700296,121.59046448591033,103.31577629288692,55.94369600705564,53.72064597913893,164.43997947971909,7.483470419631082,169.67146638975055,162.56019478490498,162.45698810133996,165.8086581258729
161.96121547987752,155.96864680824288,122.33121084761869,103.57623757239998,56.40976643889341,54.4057274456735,164.10212124836568,7.627302446864195,169.1427201523752,162.1017935093895,162.32018171952348,165.2232474298859
162.74453817845387,157.35225893876557,123.39169382113317,102.68169017204563,56.936070380162256,54.92594800854838,163.50048465949135,7.1401453190469795,168.33691388664465,161.85670975843627,162.48884884639278,164.22612434828145
163.43994257591905,158.721540734547,123.29437272092218,101.74046903256715,58.194177065216955,56.19658324435291,162.2262581224813,6.913406949568687,167.40803446300433,161.518015005958,162.5238152061835,163.08977199559934
163.42534334647036,158.8576367696513,128.3983676661643,103.02078201511762,59.54899275171806,56.7332496626798,161.42221352566344,7.036333110556786,167.39107040427302,162.88113466068097,163.12310741768792,163.28135836986422
162.46864878149103,159.5446016347798,131.5887501095231,102.73502108695196,60.33296329885639,57.19016795204702,161.05751263603597,7.152390194076348,167.4853326596965,163.71604092292347,162.96039766663947,162.69660788103477
160.66192820274523,159.13349204905933,132.6932488641313,103.733951439539,58.93631566984761,56.954584849653465,162.00915598454355,6.9055918016592965,169.41602721248506,165.42059185598836,162.0898997891139,162.09350704848578
158.3988332181344,159.17682945806214,133.184910957023,103.08068354890455,58.69676530532465,57.267754477762004,161.72147827683938,6.940006135155352,170.17173601328338,164.64075536839354,161.55275702690147,162.35923585179182
155.54174013654188,157.96334570965877,133.5152504785077,101.32657043302541,59.04608369189298,57.01356637968976,161.17419233610806,6.871641372362102,170.19786925161966,164.8580869094813,161.44392165585293,162.55658586430093
152.845406037257,157.24017884440553,134.67599476915976,100.72619013400157,59.930679755828756,56.70660105893289,161.00998440555432,6.730556460566691,171.01444382226623,164.59173016761127,161.08810384612846,163.2337427170195
153.1119060095518,156.00263705827476,129.685083561687,101.1573775267368,60.88148904216156,57.44685485121801,160.78344205443068,7.224882512457214,171.3412675854367,165.00187477609106,161.0780514771753,162.97145978343352
155.9347423701715,155.11055171718692,121.28640003560231,102.71498807246708,62.5151804403144,58.01112484948993,160.1410255287402,7.392938253668306,171.10903954598928,164.35707629309465,161.2825387983334,163.2598318016745
158.06227219826195,156.32113090860716,115.18868488397489,103.80982804653648,63.40198327648012,59.094335528712044,160.2150836952372,7.488833837659128,171.11802098993425,164.73770760361109,161.44764229682625,164.46748456250256
159.178233665458,157.5428885535601,111.02975837259547,103.88092715271753,63.83004625820228,60.05467118244168,160.82365969382997,7.4659944852196265,171.6787168231119,165.90787028502064,161.61248901546736,164.75423406886054
159.93959019309546,157.8257212208065,108.28767332017755,103.61986410328106,64.30703659620507,60.60154462682936,160.8398965791711,7.506653535402572,171.7163284138742,165.93363858199666,161.84734637886544,164.1986210339677
160.7287400220387,158.45498104974143,106.41271682148385,103.15794678483867,64.82300981293895,60.70177292725123,161.01983101952217,7.306607079497032,171.46630712935132,165.89096044738272,162.5381722695079,163.32395365030445
160.860588341749,158.85202075713735,105.5093933625023,102.84033848568627,64.5517912717104,60.71981526711887,160.93364660671907,7.148989943019128,171.24337321009244,165.4966071255593,162.39880351402272,163.0037710115071
161.75289393936117,159.52752294813092,105.16852918088556,102.75617427826074,64.64180021864624,60.55568167696479,161.2141464793671,6.799732258101358,171.45013337560147,164.05466791067226,162.29023406993076,163.71004709796992
162.97717955176046,160.42121314784168,104.40313030438249,102.46220004805392,64.65274757496023,60.50125824135568,161.90322610280865,6.596238580418687,171.68340738628066,164.07138794686858,162.34427249250257,164.06138767550175
